id	score
seq_1	-0.3852817714214325
seq_2	-0.3854699432849884
seq_3	-0.3831232488155365
seq_4	-0.3780757784843445
seq_5	-0.38162335753440857
seq_6	-0.37604886293411255
seq_7	-0.3837387263774872
seq_8	-0.3804221749305725
seq_9	-0.3878580331802368
seq_10	-0.38556164503097534
seq_11	-0.3867614269256592
seq_12	-0.3805173933506012
seq_13	-0.3805173933506012
seq_14	-0.37399566173553467
seq_15	-0.37963417172431946
seq_16	-0.39652207493782043
seq_17	-0.3911161720752716
seq_18	-0.3820808231830597
seq_19	-0.3726916015148163
seq_20	-0.380621999502182
seq_21	-0.39605066180229187
seq_22	-0.38315027952194214
seq_23	-0.3894270062446594
seq_24	-0.3935438096523285
seq_25	-0.39568355679512024
seq_26	-0.39414113759994507
seq_27	-0.39306291937828064
seq_28	-0.3831823766231537
seq_29	-0.3934382498264313
seq_30	-0.38345882296562195
seq_31	-0.3756572902202606
seq_32	-0.40545275807380676
seq_33	-0.3804011344909668
seq_34	-0.37887439131736755
seq_35	-0.3804793059825897
seq_36	-0.3804793059825897
seq_37	-0.38083887100219727
seq_38	-0.3927621841430664
seq_39	-0.38807162642478943
seq_40	-0.37916290760040283
seq_41	-0.3850037753582001
seq_42	-0.36948782205581665
seq_43	-0.3789394199848175
seq_44	-0.3868250250816345
seq_45	-0.3800308108329773
seq_46	-0.3796931207180023
seq_47	-0.38851574063301086
seq_48	-0.38942793011665344
seq_49	-0.38980984687805176
seq_50	-0.3858403265476227
seq_51	-0.38558080792427063
seq_52	-0.3750145435333252
seq_53	-0.37519651651382446
seq_54	-0.3880356550216675
seq_55	-0.3880356550216675
seq_56	-0.38496407866477966
seq_57	-0.38496407866477966
seq_58	-0.39003512263298035
seq_59	-0.38188931345939636
seq_60	-0.38204389810562134
seq_61	-0.38204389810562134
seq_62	-0.3804776668548584
seq_63	-0.3888317942619324
seq_64	-0.3832750618457794
seq_65	-0.3716576397418976
seq_66	-0.39539286494255066
seq_67	-0.39539286494255066
seq_68	-0.39744746685028076
seq_69	-0.3948979675769806
seq_70	-0.38094571232795715
seq_71	-0.3884298503398895
seq_72	-0.39342552423477173
seq_73	-0.38450145721435547
seq_74	-0.38026347756385803
seq_75	-0.3941468894481659
seq_76	-0.3654930889606476
seq_77	-0.36576029658317566
seq_78	-0.36576029658317566
seq_79	-0.39027613401412964
seq_80	-0.38686513900756836
seq_81	-0.3778872489929199
seq_82	-0.3866620361804962
seq_83	-0.37394970655441284
seq_84	-0.37169066071510315
seq_85	-0.37855812907218933
seq_86	-0.3851398825645447
seq_87	-0.3700949549674988
seq_88	-0.3875705897808075
seq_89	-0.37563350796699524
seq_90	-0.3655458688735962
seq_91	-0.3655458688735962
